release_year,author_name,book_shortener,book_title,poem_title,excerpt,file_name,link_url,low_res_file_name,low_res_link_url,folder_link,file_type,file_type_helper,book_release_catalog,graphic_made_status,approved_for_quote_image,used_status,notes,alternate_filename,source_row_number,source_row_numbers,excerpt_id,excerpt_ids,source_row_count,release_year_values,any_graphic_made_status_y,any_approved_for_quote_image_y,missing_core_fields,asset_key
,Neil Hilborn,,,“The Door”,“There’s only one way left to talk about being sad that won’t make me more sad.”,Neil - The Future - Quote Image - Tomorrow is a lease.png,https://drive.google.com/a/buttonpoetry.com/file/d/1fBddi-Q_N43s6ksEtcEYkWHTQG6jJc8o/view?usp=drivesdk,,,,QI,,,,,,,,28740,28740,20258,20258,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1fBddi-Q_N43s6ksEtcEYkWHTQG6jJc8o/view?usp=drivesdk
,Neil Hilborn,,,“The Future”,“The future is a blue sky and a full tank of gas.”,Neil - The Future - Quote Image - Here is a list.png,https://drive.google.com/a/buttonpoetry.com/file/d/1ata3g1NYNhgyR7LBOjN3gQ9P7YYcRSa8/view?usp=drivesdk,,,,QI,,,,,,,,28810,28810,20277,20277,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/1ata3g1NYNhgyR7LBOjN3gQ9P7YYcRSa8/view?usp=drivesdk
,Olivia Gatwood,,,At The Owl,"“I work with women who have crowbars for backbones, iron plates on the soles of their feet.”",Olivia - NABF - Quote Image - [I work with women who have crowbars for backbones].png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCd3E4d0pqTGdLZU0/view?usp=drivesdk,,,,QI,,,,,,,,29374,"29371, 29374",20666,"20666, 20668",2,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCd3E4d0pqTGdLZU0/view?usp=drivesdk
,Olivia Gatwood,,,Directives,“Fear is marching next to the enemy but shooting at a stranger.”,Olivia - NABF - Quote Image - [Fear is a loaded barrel].png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCWEJ6ZWZJdkxMcTg/view?usp=drivesdk,,,,QI,,,,,,,,29421,29421,20692,20692,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCWEJ6ZWZJdkxMcTg/view?usp=drivesdk
,Olivia Gatwood,,,Directives,"“When he doesn’t respond to the sound of your voice remember, he has forgotten the sound of his wife’s.”",Olivia - NABF - Quote Image - [It is easy to hurt someone who looks just like you].png,https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCX3c2STJ3bmhmRk0/view?usp=drivesdk,,,,QI,,,,,,,,29422,"29422, 29423",20693,"20693, 20694",2,,,,"release_year, book_shortener, book_title",https://drive.google.com/a/buttonpoetry.com/file/d/0B_-uqSs_rEYCX3c2STJ3bmhmRk0/view?usp=drivesdk
,Olivia Gatwood,NABF,,“Port of Spain,"""they kept calling this place an island they kept saying we were floating / & small""",Gatwood - NABF - INT - & America became.jpg,https://drive.google.com/file/d/1noVjB7o7tFRX0VilffiU2V241BMgVXrY/view?usp=drivesdk,,,,QI,QI,,,,FALSE,,,29632,29632,20792,20792,1,,,,"release_year, book_title",https://drive.google.com/file/d/1noVjB7o7tFRX0VilffiU2V241BMgVXrY/view?usp=drivesdk
,Ollie Schminkey,,,Contrapuntal: The Hunter (slash) The Alcoholic,"""""My father didn't exist before the bottle. The disease was alcoholism killing him.""""",SCHMINKEY - WIDT - Quote Images - controversial opinion in defense of speaking ill of the dead - 6.png,https://drive.google.com/file/d/10jvk4SR8nLMPoci45y67AugY_PHjZp9Q/view?usp=drivesdk,,,,QI,,,,,,,,29908,29908,20963,20963,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/file/d/10jvk4SR8nLMPoci45y67AugY_PHjZp9Q/view?usp=drivesdk
,Ollie Schminkey,,,Everyone Tells Me That My Dad Will Always Be Watching Over Me,"""The first I thing said was, 'I love you dad, but couldn't you have died the day before I had to touch your dick?'""",SCHMINKEY - WIDT - Quote Images - everything is gorgeous but i am always stepping out of the shower already drenched in sweat - 4.png,https://drive.google.com/file/d/1pXntv0HtV9g-l9lijY9i0thiN_FM_-ds/view?usp=drivesdk,,,,QI,,,,,,,,29959,29959,20998,20998,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/file/d/1pXntv0HtV9g-l9lijY9i0thiN_FM_-ds/view?usp=drivesdk
,Ollie Schminkey,,,Golden Shovel with Michael Lee's 'The Study of Words and Heaven',"""Death was a regular child, running through the woods face streaked with dirt.""",SCHMINKEY - WIDT - Quote Images - GUILT - 26.png,https://drive.google.com/file/d/1zWRJ2lWEENb4S8WNkE3_ZSgPa2YTBa-0/view?usp=drivesdk,,,,QI,,,,N,,,,30047,30047,21062,21062,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/file/d/1zWRJ2lWEENb4S8WNkE3_ZSgPa2YTBa-0/view?usp=drivesdk
,Ollie Schminkey,,,I Find a Chunk of Bone the Width of My Index Finger,"""On Thursday, I got into a car accident and my hands already started calling him. I hung up before he couldn't answer.""","Schminkey - DDJ - Quote Image - one year, my father died in my hands, and i got a jar of white dust",https://drive.google.com/file/d/1wLfBnckyPWqQYbP3WmC1ZG6mEa45h9w5/view?usp=drivesdk,,,,QI,,,,,,,,30111,30111,21105,21105,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/file/d/1wLfBnckyPWqQYbP3WmC1ZG6mEa45h9w5/view?usp=drivesdk
,Ollie Schminkey,,,I Find a Chunk of Bone the Width of My Index Finger,"""""On Thursday, I got into a car accident, and my hands already started calling him. I hung up before he couldn't answer. I googled what to do instead.""""",SCHMINKEY - WIDT - Quote Images - i look so much like my father - 15.png,https://drive.google.com/file/d/1bYMMGnQvPQ_F6BxLDwyOYoAz_9PVmJ7n/view?usp=drivesdk,,,,QI,,,,,,,,30119,30119,21110,21110,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/file/d/1bYMMGnQvPQ_F6BxLDwyOYoAz_9PVmJ7n/view?usp=drivesdk
,Ollie Schminkey,,,It's Going to Be Okay,"""""I know about death, but I also know about loving someone until the very end.""""",Schminkey - DDJ - Quote Image - i also know about loving someone until the very end,https://drive.google.com/file/d/1QEWv_vVBT4mphJAxYsNUe-rCgTGOrh3h/view?usp=drivesdk,,,,QI,,,,,,,,30294,30294,21226,21226,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/file/d/1QEWv_vVBT4mphJAxYsNUe-rCgTGOrh3h/view?usp=drivesdk
,Ollie Schminkey,,,My Grandmother,"""and she never says the word gay, but she does say
i made some mistakes with your cousin Henry.
she never says gay, but she does say how is Natalie doing?

she never says gay, but she does say special and i missed you
and i want you to know i have always loved you.""",SCHMINKEY - WIDT - Quote Images - my grandmother - 30.png,https://drive.google.com/file/d/12rsnG7gD8rHpH_G5MadtoxBAp_A7V-F1/view?usp=drivesdk,,,,QI,,,,,,,,30371,30371,21277,21277,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/file/d/12rsnG7gD8rHpH_G5MadtoxBAp_A7V-F1/view?usp=drivesdk
,Ollie Schminkey,,,prayer for the winter solstice,"""my wish for you is to sometimes feel the way you felt before you ever knew danger when you flung the door open and you ran not away from or towards anything just to feel your good heart in your good chest.""",SCHMINKEY - WIDT - Quote Images - prayer for the winter solstice - 7.png,https://drive.google.com/file/d/1BaQ8L6j16svViH3HT-BkfnfPSt6QF8S5/view?usp=drivesdk,,,,QI,,,,,,,,30452,30452,21337,21337,1,,,,"release_year, book_shortener, book_title",https://drive.google.com/file/d/1BaQ8L6j16svViH3HT-BkfnfPSt6QF8S5/view?usp=drivesdk
